Gender,GivenName
female,Валентина
female,Виктория
female,Наина
male,Прохор
male,Гаврила
male,Станислав
female,Акулина
male,Кондрат
male,Иммануил
male,Фаддей
female,Сандра
male,Спартак
male,Виктор
female,Валентина
male,Пимен
female,Капитолина
male,Геннадий
female,Ксения
female,Елена
male,Исаия
female,Ангелина
female,Ефимия
male,Поликарп
female,Капитолина
male,Платон
female,Лилит
male,Любомир
male,Эммануил
male,Степан
female,Камилла
male,Алексей
female,Божена
male,Иван
male,Сидор
female,Злата
female,Марина
female,Наталия
male,Арсений
female,Изольда
male,Ираклий
male,Даниил
female,Рахиль
male,Иосиф
male,Никон
female,Сусанна
female,Анастасия
female,Эльвира
female,Нина
male,Мирослав
male,Кондрат
female,Флора
male,Альберт
female,Евдокия
female,Полина
female,Алла
male,Ринат
female,Вероника
male,Леонтий
male,Богдан
female,Вероника
male,Олег
female,Наталия
female,Гликерия
male,Арсений
female,Евгения
male,Роберт
male,Макар
female,Альбина
male,Альберт
male,Станислав
female,Рахиль
female,Алевтина
female,Регина
male,Эммануил
female,Диана
female,Руфина
male,Евгений
male,Сидор
female,Валерия
female,Ираида
male,Александр
female,Наталия
male,Исаия
female,Евгения
female,Ярослава
male,Лука
female,Элина
female,Сабина
male,Адам
male,Оливер
male,Никодим
female,Нелли
male,Аркадий
female,Дарья
female,Белла
female,Лилия
male,Лазарь
female,Изольда
male,Ильдар
male,Прокл
female,Олимпиада
female,Софья
female,Люция
female,Гузель
male,Поликарп
female,Любовь
female,Люция
female,Злата
female,Лариса
female,Руфина
female,Гликерия
female,Матрена
female,Ева
male,Христофор
male,Кузьма
male,Владимир
female,Эльвира
male,Юлий
female,Светлана
male,Афанасий
female,Руфина
female,Мстислава
female,Таисия
male,Святослав
male,Феликс
female,Марианна
male,Моисей
female,Альбина
male,Петр
male,Терентий
female,Маргарита
female,Зара
female,Инесса
female,Анастасия
male,Мирон
female,Снежана
female,Ирина
female,Божена
female,Лилия
male,Лаврентий
male,Захар
female,Елена
female,Наталия
male,Влад
female,Валентина
female,Ника
male,Альберт
male,Альберт
female,Элина
male,Станислав
female,Сандра
male,Степан
male,Исаак
male,Исаак
female,Изольда
female,Антонина
female,Евгения
male,Трифон
female,Дина
female,Таисия
female,Яна
male,Терентий
female,Илона
male,Григорий
female,Изольда
male,Исмаил
female,Симона
male,Константин
male,Степан
female,Алена
male,Никифор
female,Александра
female,Станислава
male,Ярополк
female,Лилия
male,Остап
male,Корнелий
female,Василиса
male,Афанасий
male,Борислав
male,Авдей
female,Мирослава
male,Валентин
female,Земфира
female,Руслана
female,Рената
male,Ярополк
male,Виталий
male,Емельян
female,Ирма
female,Яна
male,Семен
female,Инга
male,Альберт
male,Искандер
female,Эрика
male,Святослав
female,Ева
female,Ксения
female,Дарина
male,Фарид
female,Олимпиада
female,Вероника
female,Надежда
male,Адам
male,Кирилл
female,Ирма
